Color;R;G;B
Infinite Black Metallic Clearcoat;0;0;0
Infinite Black Um;0;0;0
Infinite Blue Metallic Tinted Clearcoat;0;0;205
Infra Red;255;0;0
Infrared;255;0;0
Infrared Metallic;255;0;0
Infrared Metallic w/Black Roof;255;0;0
Infrared Tintcoat;255;0;0
Ingot;192;192;192
Ingot Blue Metallic;0;0;205
Ingot Blue Mica 48b;0;0;205
Ingot Silver;192;192;192
Ingot Silver Metallic;192;192;192
Ingot Silver Metallic (ux);192;192;192
Ingot Silver Ux;192;192;192
Ink Blue;0;0;205
Ink Blue Metallic;0;0;205
Inspiration Yellow;255;255;0
Int Blck/Carmin;128;0;0
Inteluxe, Jet Black With Jet Black Accents;0;0;0
Intense Blue;0;0;205
Intense Blue Metallic;0;0;205
Intense Blue Pearl Coat;0;0;205
Interior;128;128;128
Interior Trim, Leather, Jet Black/Kalahari;0;0;0
Interlagos;128;128;128
Interlagos Blue Metallic;0;0;205
Interlagos Fire Metallic;255;69;0
Interlagos Yellow;255;255;0
Interstellar Gray;128;128;128
Interstellar White;255;255;255
Ion Silver;192;192;192
Ionian Silver;192;192;192
Ionian Silver SV Bespoke Ultra Metallic Gloss;192;192;192
Ionian Silver [Sil;192;192;192
Ionic Silver Metallic;192;192;192
Ionic Silver Metallic w/BMW i Frozen Blue Accent;87;108;115
Ipanema Sand;194;178;128
Ipanema Sand Metallic;194;178;128
Iridescent Pearl Tricoat;255;255;255
Iridescent Silver Blue Pearl;173;216;230
Iridium;112;128;144
Iridium - 1L2;112;128;144
Iridium Blue;0;0;205
Iridium Graphite Metallic;54;69;79
Iridium Metallic;112;128;144
Iridium Silver;192;192;192
Iridium Silver Met;192;192;192
Iridium Silver Metallic;192;192;192
Iridium Silver Metallic - 775;192;192;192
Irish Green;34;139;34
Iron Frost;211;211;211
Iron Gray;128;128;128
Iron Gray Metallic;112;128;144
Ironman Silver;192;192;192
Ironman Silver Metallic;192;192;192
Ironman Silver Rhm;192;192;192
Island Blue;0;70;160
Island Blue Metall;0;70;160
Island Blue Metallic;0;70;160
Island Blue Pearl;0;191;255
Island Gray;128;128;128
